Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Hungary,HUN,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,GDP at market prices (current US$),NY.GDP.MKTP.CD,..,35000000000,39000000000,40000000000,43000000000,46000000000,47000000000,47000000000,49000000000,49000000000,47000000000,54000000000,68000000000,85000000000,100000000000,110000000000,120000000000,140000000000,160000000000,130000000000,130000000000,140000000000,130000000000,140000000000,140000000000,120000000000,130000000000,140000000000
Hungary,HUN,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,..,8856.05,8588.05,8548.31,8812.3,8956.02,8972.69,9291.09,9707.21,10045,10495,10923.1,11450.3,11925.1,12549.7,13126.5,13653.2,13732.1,13873.3,12977.6,13092.2,13347,13197.3,13510.7,14119.5,14653.6,15032.1,15695.7
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,Investments financed by equity or stock sales (%),GFDD.AM.04,..,..,..,..,..,..,..,..,..,..,..,..,18.8,..,..,15.6,..,..,..,5.5,..,..,..,1.4,..,..,..,..
Hungary,HUN,Investments financed by banks (%),GFDD.AI.34,..,..,..,..,..,..,..,..,..,..,..,..,12.6,..,..,20.5,..,..,..,32.3,..,..,..,15.5,..,..,..,..
Hungary,HUN,"Population, total",SP.POP.TOTL,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,9900000,9900000,9900000,9800000,9800000,9800000
Hungary,HUN,Working capital financed by banks (%),GFDD.AI.35,..,..,..,..,..,..,..,..,..,..,..,..,10.5,..,..,17.6,..,..,..,..,..,..,..,9.2,..,..,..,..
Czech Republic,CZE,Firms using banks to finance investments (%),GFDD.AI.28,..,..,..,..,..,..,..,..,..,..,..,..,22.1,..,..,20.8,..,..,..,33.4,..,..,..,34.3,..,..,..,..
Czech Republic,CZE,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Czech Republic,CZE,GDP at market prices (current US$),NY.GDP.MKTP.CD,40000000000,30000000000,35000000000,41000000000,48000000000,60000000000,67000000000,62000000000,66000000000,65000000000,62000000000,68000000000,82000000000,100000000000,120000000000,140000000000,160000000000,190000000000,240000000000,210000000000,210000000000,230000000000,210000000000,210000000000,210000000000,190000000000,200000000000,220000000000
Czech Republic,CZE,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,13988.7,12393.6,12318.2,12313,12666.7,13463,14047.8,13979.4,13946.6,14160.9,14806.6,15294.6,15577.4,16143.3,16930.2,18011.4,19193.8,20151.2,20520.8,19424.3,19808.1,20118.6,19929.8,19826.8,20343.7,21381.7,21863.6,22754.8
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Czech Republic,CZE,Investments financed by equity or stock sales (%),GFDD.AM.04,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,7,..,..,..,3,..,..,..,2.9,..,..,..,..
Czech Republic,CZE,Investments financed by banks (%),GFDD.AI.34,..,..,..,..,..,..,..,..,..,..,..,..,13.4,..,..,10.8,..,..,..,16.2,..,..,..,18.5,..,..,..,..
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,11000000,11000000,11000000,11000000,11000000,11000000
Czech Republic,CZE,Working capital financed by banks (%),GFDD.AI.35,..,..,..,..,..,..,..,..,..,..,..,..,11.7,..,..,12.9,..,..,..,..,..,..,..,14,..,..,..,..
Slovak Republic,SVK,Firms using banks to finance investments (%),GFDD.AI.28,..,..,..,..,..,..,..,..,..,..,..,..,13,..,..,23.8,..,..,..,33.5,..,..,..,37.4,..,..,..,..
Slovak Republic,SVK,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,GDP at market prices (current US$),NY.GDP.MKTP.CD,13000000000,14000000000,15000000000,16000000000,20000000000,26000000000,28000000000,28000000000,30000000000,30000000000,29000000000,31000000000,35000000000,47000000000,57000000000,63000000000,71000000000,86000000000,100000000000,89000000000,90000000000,98000000000,93000000000,98000000000,100000000000,88000000000,90000000000,96000000000
Slovak Republic,SVK,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,..,..,7675.59,7791.73,8242.7,8698.87,9267.03,9811.18,10191.1,10159.8,10296.7,10657.7,11143.8,11755.3,12376.1,13210.3,14326.3,15868.8,16747.8,15818.6,16600.6,17046.6,17299.6,17538.6,18003.5,18737.3,19298.1,19882.5
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,Investments financed by equity or stock sales (%),GFDD.AM.04,..,..,..,..,..,..,..,..,..,..,..,..,10.6,..,..,11.5,..,..,..,5,..,..,..,4.3,..,..,..,..
Slovak Republic,SVK,Investments financed by banks (%),GFDD.AI.34,..,..,..,..,..,..,..,..,..,..,..,..,7.2,..,..,12.6,..,..,..,20.8,..,..,..,16.9,..,..,..,..
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5300000,5300000,5300000,5300000,5300000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000
Slovak Republic,SVK,Working capital financed by banks (%),GFDD.AI.35,..,..,..,..,..,..,..,..,..,..,..,..,5.4,..,..,10.9,..,..,..,..,..,..,..,12.9,..,..,..,..
Slovenia,SVN,Firms using banks to finance investments (%),GFDD.AI.28,..,..,..,..,..,..,..,..,..,..,..,..,13.6,..,..,47.3,..,..,..,52.2,..,..,..,30.4,..,..,..,..
Slovenia,SVN,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovenia,SVN,GDP at market prices (current US$),NY.GDP.MKTP.CD,18000000000,13000000000,13000000000,13000000000,15000000000,21000000000,21000000000,21000000000,22000000000,23000000000,20000000000,21000000000,24000000000,30000000000,34000000000,36000000000,40000000000,48000000000,56000000000,50000000000,48000000000,51000000000,46000000000,48000000000,50000000000,43000000000,45000000000,48000000000
Slovenia,SVN,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,15444.9,14061.4,13312.6,13723.8,14471.7,15062.8,15602.2,16422.2,16998.9,17882.7,18570.7,19088.3,19796.1,20346.4,21218.3,22029.4,23201.3,24673.4,25447.4,23252.1,23437.5,23540.7,22864.2,22574.7,23217.9,23735.2,24445.6,25621.9
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovenia,SVN,Investments financed by equity or stock sales (%),GFDD.AM.04,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0.1,..,..,..,3.8,..,..,..,3.1,..,..,..,..
Slovenia,SVN,Investments financed by banks (%),GFDD.AI.34,..,..,..,..,..,..,..,..,..,..,..,..,8.6,..,..,27.7,..,..,..,33.8,..,..,..,17.8,..,..,..,..
Slovenia,SVN,"Population, total",SP.POP.TOTL,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2100000,2100000,2100000,2100000,2100000,2100000,2100000
Slovenia,SVN,Working capital financed by banks (%),GFDD.AI.35,..,..,..,..,..,..,..,..,..,..,..,..,4.9,..,..,16,..,..,..,..,..,..,..,16.1,..,..,..,..
Bulgaria,BGR,Firms using banks to finance investments (%),GFDD.AI.28,..,..,..,..,..,..,..,..,..,..,..,..,19.8,..,24.2,37.7,..,40.5,..,34.7,..,..,..,23.5,..,..,..,..
Bulgaria,BGR,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,GDP at market prices (current US$),NY.GDP.MKTP.CD,21000000000,11000000000,10000000000,11000000000,9700000000,19000000000,12000000000,11000000000,15000000000,14000000000,13000000000,14000000000,16000000000,21000000000,26000000000,30000000000,34000000000,44000000000,54000000000,52000000000,51000000000,57000000000,54000000000,56000000000,57000000000,50000000000,53000000000,58000000000
Bulgaria,BGR,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,4162.82,3849.19,3607.79,3582.86,3660.4,3781.9,3828.25,3809.69,4078.69,3756.75,3955.28,4186.92,4532.85,4804.48,5152.41,5561.16,5988.77,6476.05,6914.4,6709.53,6843.27,7019.17,7062.13,7136.85,7309.42,7611.55,7966.88,8331.15
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,Investments financed by equity or stock sales (%),GFDD.AM.04,..,..,..,..,..,..,..,..,..,..,..,..,1.8,..,0.1,0.2,..,2.1,..,0.5,..,..,..,3.5,..,..,..,..
Bulgaria,BGR,Investments financed by banks (%),GFDD.AI.34,..,..,..,..,..,..,..,..,..,..,..,..,10.9,..,14.8,23.4,..,26.1,..,27.1,..,..,..,15,..,..,..,..
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8700000,8600000,8500000,8500000,8400000,8400000,8400000,8300000,8300000,8200000,8200000,8000000,7800000,7800000,7700000,7700000,7600000,7500000,7500000,7400000,7400000,7300000,7300000,7300000,7200000,7200000,7100000,7100000
Bulgaria,BGR,Working capital financed by banks (%),GFDD.AI.35,..,..,..,..,..,..,..,..,..,..,..,..,9.2,..,9.2,15.8,..,18.5,..,..,..,..,..,17.2,..,..,..,..
Romania,ROU,Firms using banks to finance investments (%),GFDD.AI.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,GDP at market prices (current US$),NY.GDP.MKTP.CD,39000000000,29000000000,25000000000,26000000000,30000000000,37000000000,37000000000,36000000000,42000000000,36000000000,37000000000,40000000000,46000000000,58000000000,75000000000,98000000000,120000000000,170000000000,210000000000,170000000000,170000000000,180000000000,170000000000,190000000000,200000000000,180000000000,190000000000,210000000000
Romania,ROU,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,5379.07,4725.06,4349.93,4422.45,4603.02,4899.86,5106.02,4872.43,4783.42,4772.89,4896.7,5224.61,5624.6,5797.95,6439.15,6781.49,7369.49,8020.19,8913.98,8492.62,8209.92,8416,8629.14,8965.65,9306.24,9712.15,10236.9,11016.8
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,Investments financed by equity or stock sales (%),GFDD.AM.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,Investments financed by banks (%),GFDD.AI.34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,"Population, total",SP.POP.TOTL,23000000,23000000,23000000,23000000,23000000,23000000,23000000,23000000,23000000,22000000,22000000,22000000,22000000,22000000,21000000,21000000,21000000,21000000,21000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000
Romania,ROU,Working capital financed by banks (%),GFDD.AI.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,Firms using banks to finance investments (%),GFDD.AI.28,..,..,..,..,..,..,..,..,..,..,..,..,26.6,..,..,25,..,..,..,41.5,..,..,..,32.7,..,..,..,..
Estonia,EST,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,GDP at market prices (current US$),NY.GDP.MKTP.CD,..,..,..,3900000000,4000000000,4400000000,4700000000,5100000000,5600000000,5700000000,5700000000,6200000000,7300000000,9800000000,12000000000,14000000000,17000000000,22000000000,24000000000,20000000000,19000000000,23000000000,23000000000,25000000000,27000000000,23000000000,24000000000,27000000000
Estonia,EST,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,..,..,..,6840.11,6873.19,7313.74,7817.6,8840.26,9293.08,9186.39,10108.2,10816.6,11546.8,12481.2,13346.4,14681.2,16285,17627,16716.5,14282.6,14638.6,15798.6,16538.2,16918.6,17453,17773,18387.8,19257.5
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,Investments financed by equity or stock sales (%),GFDD.AM.04,..,..,..,..,..,..,..,..,..,..,..,..,2.3,..,..,0,..,..,..,3.5,..,..,..,0.5,..,..,..,..
Estonia,EST,Investments financed by banks (%),GFDD.AI.34,..,..,..,..,..,..,..,..,..,..,..,..,10.1,..,..,12.2,..,..,..,22.8,..,..,..,20.8,..,..,..,..
Estonia,EST,"Population, total",SP.POP.TOTL,1600000,1600000,1500000,1500000,1500000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000
Estonia,EST,Working capital financed by banks (%),GFDD.AI.35,..,..,..,..,..,..,..,..,..,..,..,..,7.8,..,..,5.7,..,..,..,..,..,..,..,6.3,..,..,..,..
Latvia,LVA,Firms using banks to finance investments (%),GFDD.AI.28,..,..,..,..,..,..,..,..,..,..,..,..,30,..,..,27.8,..,..,..,37.3,..,..,..,7.9,..,..,..,..
Latvia,LVA,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latvia,LVA,GDP at market prices (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,5800000000,6000000000,6500000000,7200000000,7500000000,7900000000,8400000000,9500000000,12000000000,14000000000,17000000000,21000000000,31000000000,36000000000,26000000000,24000000000,28000000000,28000000000,30000000000,31000000000,27000000000,28000000000,30000000000
Latvia,LVA,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,..,..,..,..,5160.58,5140.53,5321.4,5857.04,6298.13,6515.89,6934.72,7478.76,8103.59,8872.1,9717.11,10873.4,12278.3,13614.3,13270,11548,11326.2,12270.3,12924.7,13381.3,13759,14284.3,14713,15532.2
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latvia,LVA,Investments financed by equity or stock sales (%),GFDD.AM.04,..,..,..,..,..,..,..,..,..,..,..,..,10.4,..,..,17.2,..,..,..,5.2,..,..,..,6.5,..,..,..,..
Latvia,LVA,Investments financed by banks (%),GFDD.AI.34,..,..,..,..,..,..,..,..,..,..,..,..,16.1,..,..,18.6,..,..,..,27.9,..,..,..,6.2,..,..,..,..
Latvia,LVA,"Population, total",SP.POP.TOTL,2700000,2700000,2600000,2600000,2500000,2500000,2500000,2400000,2400000,2400000,2400000,2300000,2300000,2300000,2300000,2200000,2200000,2200000,2200000,2100000,2100000,2100000,2000000,2000000,2000000,2000000,2000000,1900000
Latvia,LVA,Working capital financed by banks (%),GFDD.AI.35,..,..,..,..,..,..,..,..,..,..,..,..,5.3,..,..,14.1,..,..,..,..,..,..,..,5.1,..,..,..,..
Lithuania,LTU,Firms using banks to finance investments (%),GFDD.AI.28,..,..,..,..,..,..,..,..,..,..,..,..,14.4,..,24.8,21.8,..,..,..,47.4,..,..,..,28,..,..,..,..
Lithuania,LTU,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,GDP at market prices (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,7900000000,8400000000,10000000000,11000000000,11000000000,12000000000,12000000000,14000000000,19000000000,23000000000,26000000000,30000000000,40000000000,48000000000,37000000000,37000000000,43000000000,43000000000,46000000000,49000000000,42000000000,43000000000,48000000000
Lithuania,LTU,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,..,..,..,..,..,5322.42,5639.24,6152.14,6659.6,6630.91,6933.59,7447.08,8014.64,8931.52,9624.01,10537.9,11500.5,12928.3,13405.2,11546.8,11984.9,12999.4,13679.1,14301.7,14935.5,15381.3,15944.6,16838.5
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,Investments financed by equity or stock sales (%),GFDD.AM.04,..,..,..,..,..,..,..,..,..,..,..,..,0,..,13,2.4,..,..,..,15.1,..,..,..,7.3,..,..,..,..
Lithuania,LTU,Investments financed by banks (%),GFDD.AI.34,..,..,..,..,..,..,..,..,..,..,..,..,6.5,..,12.1,11.9,..,..,..,31.6,..,..,..,16.7,..,..,..,..
Lithuania,LTU,"Population, total",SP.POP.TOTL,3700000,3700000,3700000,3700000,3700000,3600000,3600000,3600000,3500000,3500000,3500000,3500000,3400000,3400000,3400000,3300000,3300000,3200000,3200000,3200000,3100000,3000000,3000000,3000000,2900000,2900000,2900000,2800000
Lithuania,LTU,Working capital financed by banks (%),GFDD.AI.35,..,..,..,..,..,..,..,..,..,..,..,..,8.3,..,7.9,10.2,..,..,..,..,..,..,..,7.5,..,..,..,..
Croatia,HRV,Firms using banks to finance investments (%),GFDD.AI.28,..,..,..,..,..,..,..,..,..,..,..,..,35.8,..,..,45.8,..,60,..,..,..,..,..,27,..,..,..,..
Croatia,HRV,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,GDP at market prices (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,22000000000,24000000000,24000000000,25000000000,23000000000,22000000000,23000000000,27000000000,35000000000,42000000000,45000000000,50000000000,60000000000,70000000000,63000000000,60000000000,62000000000,57000000000,58000000000,58000000000,50000000000,52000000000,55000000000
Croatia,HRV,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,..,..,..,..,..,8563.04,9191.21,9849.94,10039.5,9988.65,10468.2,11254.4,11838.7,12495.9,12981.4,13497.5,14151.2,14902.2,15207.5,14113.4,13937.1,13937.8,13658.8,13629.5,13673.2,14117.3,14718.9,15331.9
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,Investments financed by equity or stock sales (%),GFDD.AM.04,..,..,..,..,..,..,..,..,..,..,..,..,8.8,..,..,4.5,..,2.3,..,..,..,..,..,3.6,..,..,..,..
Croatia,HRV,Investments financed by banks (%),GFDD.AI.34,..,..,..,..,..,..,..,..,..,..,..,..,22.2,..,..,30.3,..,39.8,..,..,..,..,..,18.6,..,..,..,..
Croatia,HRV,"Population, total",SP.POP.TOTL,4800000,4700000,4600000,4600000,4700000,4600000,4600000,4500000,4500000,4500000,4500000,4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000,4200000,4200000,4200000,4100000
Croatia,HRV,Working capital financed by banks (%),GFDD.AI.35,..,..,..,..,..,..,..,..,..,..,..,..,15.8,..,..,21.6,..,24.4,..,..,..,..,..,9.8,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Global Financial Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
